Movie_Name, Cast_Name, Total_Centrality, Average_Centrality
Guddi,guddi,28,0.212121212
Qatl,ranjeet,478.3333333,3.066239316
Qatl,sita,285.5,2.668224299
Qatl,girl,6,1.5
Qatl,rohini,218,1.388535032
Haathi Mere Saathi,tanu,788,15.15384615
Suhaagan,janki,830.3333333,6.58994709
Hare Rama Hare Krishna,jasbir,277,2.885416667
Hare Rama Hare Krishna,shanti,407,6.166666667
Hare Rama Hare Krishna,janice,220,1.71875
Hulchul,woman,505,15.78125
Hulchul,hearing,75,5
Hulchul,kitty,0,0
Singhasan,devi,23.5,1.807692308
Singhasan,princess,0,0
Swarag Se Sunder,lalitha,3420.666667,22.95749441
Swarag Se Sunder,lakshmi,300.5,2.917475728
Swarag Se Sunder,girl,79.5,5.3
Swati,woman,730.5,22.828125
Swati,sharda,433.7666667,2.677572016
Swati,rajendra,186,4.428571429
Swati,anandi,39,1.695652174
Swati,swati,292,2.229007634
The Living Corpse,masha,39,2.785714286
Jal Bin Machhli Nritya Bin Bijli,alaknanda,0,0
Johar Mehmood in Hong Kong,sonia,358.5,3.117391304
Johar Mehmood in Hong Kong,daughter,985.5,13.88028169
Kathputli,mother,204.8333333,5.536036036
Kathputli,nisha,461.5833333,10.73449612
Kati Patang,madhu,168,0.835820896
Kati Patang,mrs.,0,0
Kati Patang,madhavi,4982.616667,42.22556497
Kati Patang,poonam,685.6995532,3.874008775
Kati Patang,shabnam,96,2.526315789
Lal Patthar,woman,266,7.823529412
Lal Patthar,sumita,0,0
Main Sunder Hoon,mother,54.5,1.879310345
Main Sunder Hoon,radha,797.5,6.182170543
Aankhon Aankhon Mein,shobha,145,5.178571429
Amar Prem,mother,246.6666667,8.505747126
Amar Prem,pushpa,3103,10.66323024
Mehboob Ki Mehndi,shabana,204,3.138461538
Annadata,aarti,122.9333333,1.576068376
Annadata,arun,86.33333333,1.438888889
Annadata,girl,0,0
Mera Gaon Mera Desh,anju,26,1.857142857
Anuraag,mother,13,1.3
Anuraag,shivani,237.5,4.567307692
Mere Apne,anandi,56,0.528301887
Apradh,rita,375.6666667,6.956790123
Apradh,meena,70,2.058823529
Parwana,asha,209.3333333,3.322751323
Patanga,kamla,62,1.9375
Patanga,sister,188.9166667,4.393410853
Patanga,renu,738.6666667,3.867364747
Bhai Ho To Aisa,munnibai,6,2
Dastaan,mala,126.3333333,1.21474359
Dastaan,meena,99,1.455882353
Pyar Ki Kahani,kusum,342,9.771428571
Reshma Aur Shera,reshma,333,3.619565217
Do Chor,sandhya,113,1.313953488
Do Gaz Zameen Ke Neeche,meera,6,0.146341463
Sanjog,seema,56.5,0.926229508
Sanjog,asha,229.5,2.607954545
Dushman,phoolmati,142.5,2.5
Dushman,malti,541.5,7.963235294
Dushman,mother,406,9.441860465
Dushman,mumtaz,201,11.82352941
Dushman,ram,0,0
Ek Bechara,kavita,725.5,4.93537415
Sharmeelee,kanchan,135.8333333,2.890070922
Sharmeelee,kamini,24,4
Sharmeelee,sister,4,0.8
Ek Hasina Do Diwane,woman,287,12.47826087
Ek Hasina Do Diwane,neeta,51,0.698630137
Shri Krishna Leela,yashoda,0,0
Tere Mere Sapne,actress,33,5.5
Tere Mere Sapne,nisha,63,0.759036145
Gaon Hamara Shaher Tumhara,mother,509.8571429,8.223502304
Gaon Hamara Shaher Tumhara,paro,28,1.333333333
Gaon Hamara Shaher Tumhara,daughter,8.5,2.125
Gomti Ke Kinare,roshni,154,11
Uphaar,mother,67.95555556,1.386848073
Uphaar,minoo,183,1.095808383
Uphaar,anoop,2671.5,7.903846154
Uphaar,daughter,41.5,5.1875
Uphaar,sister,124,4.96
Grahan,woman,7.5,0.9375
Grahan,sunita,151,2.903846154
Grahan,acharya,119,6.611111111
Grahan,parvati,112,1.272727273
Jawani Diwani,madhu,0,0
Jawani Diwani,girl,66,6
Joroo Ka Ghulam,kalpana,1691.5,4.874639769
Koshish,girl,52.83333333,8.805555556
Lalkaar,usha,89,3.869565217
Mere Jeevan Saathi,princess,0,0
Mere Jeevan Saathi,jyoti,459.8333333,1.492965368
Mere Jeevan Saathi,kamini,272.5,4.780701754
Mere Jeevan Saathi,daughter,43.5,5.4375
Pakeezah,a,7177.316667,33.2283179
Pakeezah,nawabjaan,141.5,3.215909091
Pakeezah,nargis,0,0
Pakeezah,sahibjaan,706.4166667,7.435964912
Piya Ka Ghar,malti,122,1.119266055
Raja Jani,rajmata,117,1.857142857
Rakhi Aur Hathkadi,girl,123.5,6.175
Rakhi Aur Hathkadi,mother,21.33333333,1.641025641
Rivaaj,mother,2958.666667,20.4045977
Rivaaj,woman,585.5,12.45744681
Rivaaj,meera,1.333333333,0.020512821
Rivaaj,sinha,706,8.825
Rivaaj,lakshmi,785.8333333,5.736009732
Rivaaj,mala,0,0
Rivaaj,daughter,43,1.102564103
Rivaaj,sister,60,2.857142857
Roop Tera Mastana,kiran,738.8333333,9.721491228
Aarop,aruna,182.5,1.393129771
Aarop,daughter,33,4.714285714
Abhimaan,uma,120,2.926829268
Abhimaan,girl,84,10.5
Anamika,mother,24,3.428571429
Anamika,mrs.,0,0
Anamika,woman,79.33333333,4.175438596
Anamika,rubai,20,0.8
Anamika,anamika,226,1.808
Seeta Aur Geeta,mother,29,2.636363636
Seeta Aur Geeta,seeta,364,1.784313725
Seeta Aur Geeta,girl,66,2.538461538
Seeta Aur Geeta,geeta,163,1.304
Anhonee,rekha,3,0.036144578
Shaadi Ke Baad,shobha,223.6333333,7.213978495
Shaadi Ke Baad,girl,89,7.416666667
Anokhi Ada,neeta,0,0
Anokhi Ada,gupta,204,3.044776119
Avishkaar,rita,0,0
Bada Kabutar,mother,134.5,1.746753247
Banarasi Babu,woman,102,6.8
Banarasi Babu,neela,270.5,4.745614035
Bandhe Haath,woman,199.8333333,8.688405797
Bandhe Haath,mala,2.5,0.037313433
Black Mail,mehta,59,1.84375
Black Mail,asha,460.1666667,5.350775194
Victoria No. 203,seth,0,0
Victoria No. 203,durgadas,70,2.5
Bobby,braganza,26,2
Bobby,girl,158,7.9
Bobby,daughter,219,6.636363636
Yeh Gulistan Hamara,soo,0,0
Yeh Gulistan Hamara,reni,214,4.976744186
Yeh Gulistan Hamara,girl,12,4
Chhalia,shanti,37,0.359223301
Zaroorat,anju,22,0.578947368
Zaroorat,girl,79.5,5.3
Chhupa Rustam,rajendra,45,0.6
Chhupa Rustam,ritu,167,2.830508475
Daag: A Poem of Love,sonia,853,27.51612903
Daag: A Poem of Love,woman,31,5.166666667
Dharma,radha,1736.1,16.69326923
Dharma,parvati,221.8333333,5.158914729
Dharma,singh,1688.066667,8.234471545
Dharma,daughter,38.56666667,3.213888889
Dhund,woman,101,4.04
Dhund,ranjit,198,0.709677419
Dhund,rani,976,4.13559322
Do Phool,mother,12,3
Do Phool,shaila,437.6666667,20.84126984
Do Phool,apte,51,3.923076923
Hum Aapke Hain Koun..!,mother,54,5.4
Hum Aapke Hain Koun..!,mrs.,0,0
Hum Aapke Hain Koun..!,pooja,63.5,0.846666667
Hum Aapke Hain Koun..!,nisha,1002.166667,5.965277778
Hum Aapke Hain Koun..!,sister,15,2.142857143
Hum Aapke Hain Koun..!,rajesh,87.83333333,1.689102564
Mohra,roma,146.3333333,2.613095238
Mohra,singh,82,3.565217391
Krantiveer,megha,57,1.628571429
Krantiveer,mamta,22,0.956521739
Raja Babu,madhu,497.3333333,7.104761905
Main Khiladi Tu Anari,deepak,1016.45,5.15964467
Main Khiladi Tu Anari,mona,937.6666667,11.57613169
Main Khiladi Tu Anari,basanti,141,1.18487395
Garam Hawa,mother,1155.033333,10.31279762
Garam Hawa,amina,602.3333333,3.273550725
Aatish: Feel the Fire,mother,204,5.828571429
Gehri Chaal,hema,755.6666667,9.329218107
Gehri Chaal,daughter,26.66666667,2.666666667
Suhaag,madhu,13,1.857142857
Suhaag,mother,118.6666667,3.955555556
Suhaag,asha,11,2.2
Suhaag,pooja,0,0
Dilwale,sapna,561.4666667,2.245866667
Dilwale,jyoti,0,0
1942: A Love Story,pathak,398.5,5.108974359
Hanste Zakhm,mother,59.66666667,2.841269841
Hanste Zakhm,police,0,0
Hanste Zakhm,rekha,362.5,2.432885906
Hanste Zakhm,chanda,102.1666667,1.053264605
Hanste Zakhm,girl,18.33333333,2.037037037
Hanste Zakhm,daughter,164,3.094339623
Aa Gale Lag Jaa,girl,51.5,4.291666667
Aa Gale Lag Jaa,urmila,556.3333333,7.947619048
Heera Panna,reema,34,1.307692308
Heera Panna,panna,16,0.695652174
Heera Panna,sister,12,1.714285714
Aag,laxmi,873,9.489130435
Aag,barkha,0,0
Aag,sister,38,5.428571429
Hindustan Ki Kasam,mohini,245,2.882352941
Aao Pyaar Karen,woman,132.8333333,3.59009009
Aao Pyaar Karen,raja,496.1666667,4.352339181
Aao Pyaar Karen,anjali,13,0.5
Aao Pyaar Karen,sonu,0,0
Aao Pyaar Karen,rai,110,12.22222222
Aao Pyaar Karen,chhaya,262.6666667,5.588652482
Honeymoon,madhu,26,0.448275862
Andaz,girl,9,2.25
Andaz,saraswati,8,0.186046512
Andaz,jaya,154,2.081081081
Andaz Apna Apna,raveena,677,8.358024691
Andaz Apna Apna,karishma,55.5,2.3125
Andaz Apna Apna,girl,0,0
Anjaam,mother,11.83333333,0.986111111
Anjaam,shivani,1733.916667,3.538605442
Anjaam,sister,156.3333333,8.685185185
Joshila,shalini,0,0
Joshila,daughter,36,4.5
Bandit Queen,phoolan,916.1,2.004595186
Chaand Kaa Tukdaa,girl,573,12.45652174
Kahani Kismat Ki,mother,253.5,19.5
Kahani Kismat Ki,woman,40,1.290322581
Chauraha,sister,18,2.571428571
Keemat,mohan,51,2.318181818
Keemat,ajay,0,0
Kachche Dhaage,dhananjay,286,3.445783133
Droh Kaal,sumitra,60.5,1.260416667
Dulaara,priya,465,6.038961039
Dulaara,chauhan,739.1666667,4.47979798
Dulaara,girl,0,0
Dulaara,sister,157,8.722222222
Loafer,anju,66,1.434782609
Ekka Raja Rani,barkha,144.5,1.80625
Ekka Raja Rani,vicky,74,1.947368421
Manchali,girl,155.8333333,7.791666667
Ghar Ki Izzat,radhika,55,1.774193548
Ghar Ki Izzat,sister,144,4.965517241
Mera Desh Mera Dharam,woman,0,0
Hum Hain Bemisaal,maria,116,3.314285714
Naina,naina,0,0
Naina,young,0,0
Naina,shah,368.5,12.70689655
Namak Haraam,vicky,0,0
Khudai,padmini,109.3333333,1.918128655
Saudagar,phoolbanu,58,2.9
Saudagar,daughter,7,1.75
Laadla,kaajal,114,1.753846154
Laadla,mother,239.3833333,6.46981982
Laadla,sheetal,3580.683333,10.85055556
Zanjeer,mala,503.1666667,2.567176871
36 Ghante,kamini,0,0
Mammo,sister,62.16666667,3.108333333
Mohra,roma,146.8333333,2.62202381
Aahat,woman,50.5,3.884615385
Nazar Ke Samne,sister,112,7
Ajanabee,woman,226,9.04
Ajanabee,deena,304,1.357142857
Ajanabee,girl,257.7833333,13.56754386
Ajanabee,diwan,240.5,1.019067797
Ajanabee,mother,48,2.823529412
Ajanabee,rashmi,303.5,1.405092593
Prem Shakti,gauri,33,0.846153846
Prem Yog,woman,61,5.083333333
Prem Yog,anita,80,2.666666667
Ankur,saru,330,4.074074074
Ankur,lakshmi,529.5,2.243644068
Sangdil Sanam,mother,57,1.727272727
Sangdil Sanam,girl,221,9.208333333
Sangdil Sanam,sanam,76,0.434285714
Teesra Kaun?,woman,43,3.583333333
Badi Maa,hema,112,3.027027027
Badi Maa,girl,151.5,8.416666667
Badi Maa,daughter,18.5,0.685185185
The Gentleman,juhi,0,0
Udhaar Ki Zindagi,woman,118.3333333,6.960784314
Udhaar Ki Zindagi,vasudev,312.5,4.401408451
Woh Chokri,girl,295.6666667,4.846994536
Woh Chokri,mother,457,5.858974359
Woh Chokri,daughter,103.5,2.112244898
Benaam,sheela,0,0
Yaar Gaddar,saif,290,3.333333333
Yeh Dillagi,mother,179.6666667,3.455128205
Yeh Dillagi,sapna,266.5,1.876760563
Yeh Dillagi,girl,88.5,4.022727273
Yeh Dillagi,vicky,32,0.205128205
Bidaai,padma,117,1.8
Bidaai,gauri,22,0.785714286
Bidaai,parvati,175,5
Call Girl,mother,0,0
Call Girl,woman,183,6.777777778
Call Girl,sonachand,0,0
Call Girl,kamini,72,0.837209302
Call Girl,maya,4407.573449,54.41448702
Zakhmi Dil,vandana,474,8.172413793
Zakhmi Dil,gayatri,165,2.22972973
Zakhmi Dil,guddi,22,0.733333333
Zakhmi Dil,mala,107.5,4.3
Chor Machaye Shor,rekha,302,3.511627907
Chor Machaye Shor,girl,48,8
Chor Machaye Shor,vijay,144,1.398058252
Chowkidar,girl,52.33333333,1.869047619
Chowkidar,bela,46,1.277777778
Chowkidar,lala,106,1.247058824
Chowkidar,radha,218,2.906666667
Chowkidar,dinanath,137,2.795918367
Chowkidar,sister,746,10.36111111
Dilwale Dulhania Le Jayenge,simran,723.3333333,2.260416667
Dilwale Dulhania Le Jayenge,mother,136.4,2.005882353
Karan Arjun,sonia,442.4666667,3.138061466
Karan Arjun,woman,144,7.578947368
Karan Arjun,durga,424.3333333,1.739071038
Karan Arjun,bindiya,743.8333333,21.87745098
Barsaat,tina,226.5,2.603448276
Rangeela,mili,150,1.145038168
Rangeela,daughter,76,6.333333333
Sabse Bada Khiladi,gomti,42.16666667,1.317708333
Sabse Bada Khiladi,jamna,2028.166667,15.4821883
Sabse Bada Khiladi,sunita,558.6666667,5.078787879
Dost,kaajal,0,0
Trimurti,satyadevi,0,0
Ram Jaane,bela,548.6666667,5.963768116
Dulhan,radha,170,1.545454545
Dulhan,daughter,6,2
Akele Hum Akele Tum,kiran,618.8333333,2.714181287
Aatank Hi Aatank,ganga,29,4.833333333
Aatank Hi Aatank,gogia,31.66666667,0.931372549
Aatank Hi Aatank,pathan,1309.166667,12.46825397
Ek Anek Aur Ekta,sister,190.3333333,4.325757576
Ab Insaf Hoga,woman,27,4.5
Geeta Mera Naam,nita,14,1.4
Geeta Mera Naam,geeta,0,0
Goonj,sonia,169,9.388888889
Goonj,girl,32,1.6
Goonj,meena,1581.833333,3.195622896
Goonj,reena,115.5,1.673913043
Bewafa Sanam,mother,503.4439394,6.139560237
Bewafa Sanam,sheetal,7900.374964,51.30113613
Bombay,shaila,180,1.097560976
Bombay,banu,128,9.142857143
Criminal,ramya,56,1.302325581
Hawas,anil,24,0.289156627
Hawas,daughter,262.1666667,13.79824561
Hawas,kumar,23,2.090909091
Humshakal,woman,78,2.689655172
Humshakal,lalita,584.5,4.75203252
Humshakal,girl,204.5,4.260416667
Humshakal,radha,298,1.505050505
Humshakal,daughter,163,4.289473684
Humshakal,rani,106,1.139784946
Imtihaan,preeti,363,2.050847458
Imtihaan,daughter,108,4.5
Imtihaan,vicky,341,3.515463918
Guddu,salina,268,3.941176471
Ishq Ishq Ishq,pooja,161.6666667,5.388888889
Ishq Ishq Ishq,pahar,5,0.5
Haqeeqat,bhavani,41,3.416666667
Haqeeqat,bhabhi,0,0
Haqeeqat,kamini,1213.666667,27.58333333
Hathkadi,girl,91.83333333,2.481981982
Hathkadi,home,30.66666667,0.398268398
Kasauti,mother,91,7
Kasauti,sapna,384,2.976744186
Khotey Sikkay,daughter,257.0333333,8.863218391
Janam Kundli,kiran,432.6666667,3.635854342
Kalyug Ke Avtaar,reena,62.5,4.166666667
Kalyug Ke Avtaar,babli,60,2.142857143
Kartavya,mother,194.6666667,4.634920635
Kora Kagaz,archana,239,2.879518072
Kismat,geeta,34.5,0.71875
Kunwara Baap,bharathi,28,1.12
Majboor,mother,56,6.222222222
Manoranjan,woman,230.3333333,8.530864198
Manoranjan,nisha,21,0.28
Oh Darling! Yeh Hai India,india,920.1666667,6.572619048
Oh Darling! Yeh Hai India,miss,97,0.702898551
Mere Saath Chal,geeta,17,0.226666667
Paappi Devataa,reshma,56,6.222222222
Raasaiyya,mother,97,6.928571429
Raasaiyya,anita,422.3333333,8.985815603
Raja,madhu,286.9,1.850967742
Ram Jaane,bela,555.9166667,6.042572464
Rajnigandha,deepa,485.6666667,3.794270833
Ram Shastra,sister,0,0
